actual_observer,predicted_observer,Recall,Precision,F1
gold standard,gold standard,,,0.0
obs1,gold standard,0.94,0.46,0.62
obs2,gold standard,0.76,0.63,0.69
obs3,gold standard,0.65,0.49,0.56
obs4,gold standard,0.62,0.51,0.56
obs5,gold standard,0.48,0.63,0.54
obs6,gold standard,0.85,0.49,0.62
obs7,gold standard,0.66,0.54,0.59
obs8,gold standard,0.52,0.66,0.58
obs9,gold standard,0.42,0.69,0.52
mean,gold standard,,,0.0
gold standard,obs1,0.46,0.94,0.62
obs1,obs1,,,0.0
obs2,obs1,0.55,0.94,0.69
obs3,obs1,0.58,0.88,0.7
obs4,obs1,0.52,0.88,0.65
obs5,obs1,0.37,1.0,0.54
obs6,obs1,0.75,0.88,0.81
obs7,obs1,0.52,0.88,0.65
obs8,obs1,0.36,0.94,0.52
obs9,obs1,0.3,1.0,0.46
mean,obs1,0.93,0.49,0.64
gold standard,obs2,0.63,0.76,0.69
obs1,obs2,0.94,0.55,0.69
obs2,obs2,,,0.0
obs3,obs2,0.69,0.62,0.65
obs4,obs2,0.72,0.72,0.72
obs5,obs2,0.52,0.83,0.64
obs6,obs2,0.95,0.66,0.78
obs7,obs2,0.72,0.72,0.72
obs8,obs2,0.52,0.79,0.63
obs9,obs2,0.44,0.86,0.58
mean,obs2,0.72,0.68,0.7
gold standard,obs3,0.49,0.65,0.56
obs1,obs3,0.88,0.58,0.7
obs2,obs3,0.62,0.69,0.65
obs3,obs3,,,0.0
obs4,obs3,0.62,0.69,0.65
obs5,obs3,0.41,0.73,0.53
obs6,obs3,0.9,0.69,0.78
obs7,obs3,0.66,0.73,0.69
obs8,obs3,0.41,0.69,0.51
obs9,obs3,0.39,0.85,0.53
mean,obs3,0.7,0.6,0.65
gold standard,obs4,0.51,0.62,0.56
obs1,obs4,0.88,0.52,0.65
obs2,obs4,0.72,0.72,0.72
obs3,obs4,0.69,0.62,0.65
obs4,obs4,,,0.0
obs5,obs4,0.52,0.83,0.64
obs6,obs4,0.9,0.62,0.73
obs7,obs4,0.72,0.72,0.72
obs8,obs4,0.45,0.69,0.54
obs9,obs4,0.44,0.86,0.58
mean,obs4,0.69,0.65,0.67
gold standard,obs5,0.63,0.48,0.54
obs1,obs5,1.0,0.37,0.54
obs2,obs5,0.83,0.52,0.64
obs3,obs5,0.73,0.41,0.53
obs4,obs5,0.83,0.52,0.64
obs5,obs5,,,0.0
obs6,obs5,0.95,0.41,0.57
obs7,obs5,0.76,0.48,0.59
obs8,obs5,0.57,0.54,0.55
obs9,obs5,0.67,0.83,0.74
mean,obs5,0.51,0.78,0.62
gold standard,obs6,0.49,0.85,0.62
obs1,obs6,0.88,0.75,0.81
obs2,obs6,0.66,0.95,0.78
obs3,obs6,0.69,0.9,0.78
obs4,obs6,0.62,0.9,0.73
obs5,obs6,0.41,0.95,0.57
obs6,obs6,,,0.0
obs7,obs6,0.62,0.9,0.73
obs8,obs6,0.43,0.95,0.59
obs9,obs6,0.33,0.95,0.49
mean,obs6,0.9,0.57,0.7
gold standard,obs7,0.54,0.66,0.59
obs1,obs7,0.88,0.52,0.65
obs2,obs7,0.72,0.72,0.72
obs3,obs7,0.73,0.66,0.69
obs4,obs7,0.72,0.72,0.72
obs5,obs7,0.48,0.76,0.59
obs6,obs7,0.9,0.62,0.73
obs7,obs7,,,0.0
obs8,obs7,0.45,0.69,0.54
obs9,obs7,0.46,0.9,0.61
mean,obs7,0.69,0.65,0.67
gold standard,obs8,0.66,0.52,0.58
obs1,obs8,0.94,0.36,0.52
obs2,obs8,0.79,0.52,0.63
obs3,obs8,0.69,0.41,0.51
obs4,obs8,0.69,0.45,0.54
obs5,obs8,0.54,0.57,0.55
obs6,obs8,0.95,0.43,0.59
obs7,obs8,0.69,0.45,0.54
obs8,obs8,,,0.0
obs9,obs8,0.49,0.64,0.56
mean,obs8,0.48,0.72,0.58
gold standard,obs9,0.69,0.42,0.52
obs1,obs9,1.0,0.3,0.46
obs2,obs9,0.86,0.44,0.58
obs3,obs9,0.88,0.4,0.55
obs4,obs9,0.86,0.44,0.58
obs5,obs9,0.85,0.68,0.76
obs6,obs9,0.95,0.33,0.49
obs7,obs9,0.9,0.46,0.61
obs8,obs9,0.64,0.49,0.56
obs9,obs9,,,0.0
mean,obs9,0.44,0.84,0.58
