Variables,AIC,Delta AICc,R^2,LogLik,Weight,Conf Int
"('aspect_degrees',)",56.78978967529901,0.0,0.06036608829594936,-26.394894837649506,1.0,"                       0         1
const          -2.735402  1.400906
aspect_degrees -0.000988  0.021287"
"('cube_slope_degrees',)",60.10152013565674,3.3117304603577296,0.0014188133377495138,-28.05076006782837,0.1909267885992811,"                           0         1
const              -1.236649  4.434533
cube_slope_degrees -1.541751  1.153881"
"('minimum_age',)",59.95752571915978,3.1677360438607707,0.003981847546993378,-27.97876285957989,0.20517992088100379,"                    0         1
const       -0.784510  2.465601
minimum_age -0.075724  0.123363"
"('sex',)",58.42136916636981,1.631579491070795,0.0313247257733722,-27.210684583184904,0.44228989292907933,"              0         1
const -0.021894  1.643755
sex   -0.458430  2.246065"
"('aspect_degrees', 'cube_slope_degrees')",58.010330505426474,1.2205408301274616,0.07424010206463127,-26.005165252713237,0.543203958678898,"                           0         1
const              -2.732634  3.490271
aspect_degrees     -0.000375  0.024731
cube_slope_degrees -2.247311  0.866374"
"('aspect_degrees', 'minimum_age')",58.49929860001148,1.7095089247124662,0.06553669547333041,-26.24964930000574,0.42538762693588816,"                       0         1
const          -3.764491  1.535373
aspect_degrees -0.000912  0.021442
minimum_age    -0.074521  0.130238"
"('aspect_degrees', 'sex')",56.76752596364025,0.0,0.09636144977722827,-25.383762981820126,1.0,"                       0         1
const          -3.548721  1.060746
aspect_degrees -0.000714  0.022514
sex            -0.418171  2.415627"
"('cube_slope_degrees', 'minimum_age')",61.837516161677684,5.069990198037431,0.006117962326619764,-27.918758080838842,0.0792621077258862,"                           0         1
const              -1.776481  4.375885
cube_slope_degrees -1.617229  1.132374
minimum_age        -0.074348  0.126528"
"('cube_slope_degrees', 'sex')",60.23180732162936,3.4642813579891083,0.03469883919149497,-27.11590366081468,0.17690530687118364,"                           0         1
const              -1.485696  4.334508
cube_slope_degrees -1.703962  1.086201
sex                -0.436971  2.295590"
"('minimum_age', 'sex')",59.959748102923264,3.192222139283011,0.03954136782175344,-26.979874051461632,0.2026832081929795,"                    0         1
const       -1.561934  2.061056
minimum_age -0.066589  0.135892
sex         -0.409168  2.341163"
"('aspect_degrees', 'cube_slope_degrees', 'minimum_age')",59.57614262744285,2.808616663802596,0.08196844606284837,-25.788071313721424,0.24553682772426522,"                           0         1
const              -3.447694  3.350633
aspect_degrees     -0.000140  0.025097
cube_slope_degrees -2.356351  0.824367
minimum_age        -0.069289  0.138104"
"('aspect_degrees', 'cube_slope_degrees', 'sex')",57.14747508647683,0.3799491228365781,0.12519760828878457,-24.573737543238416,0.8269801708784366,"                           0         1
const              -3.004988  3.374931
aspect_degrees      0.000672  0.029268
cube_slope_degrees -2.864456  0.658664
sex                -0.273533  2.800668"
"('aspect_degrees', 'minimum_age', 'sex')",58.22495138363869,1.4574254199984367,0.10601902708780053,-25.112475691819345,0.4825297461752609,"                       0         1
const          -4.784812  1.007201
aspect_degrees -0.000610  0.022664
minimum_age    -0.065577  0.142505
sex            -0.366986  2.512994"
"('cube_slope_degrees', 'minimum_age', 'sex')",61.691420650034125,4.923894686393872,0.044317472741409514,-26.845710325017063,0.08526874168255857,"                           0         1
const              -2.263186  4.157570
cube_slope_degrees -1.801228  1.050929
minimum_age        -0.064108  0.139440
sex                -0.378598  2.396946"
"('aspect_degrees', 'cube_slope_degrees', 'minimum_age', 'sex')",58.312272118435914,1.5447461547956607,0.14006383595807825,-24.156136059217957,0.4619156051614464,"                           0         1
const              -3.964077  3.044719
aspect_degrees      0.001084  0.029903
cube_slope_degrees -3.021786  0.578057
minimum_age        -0.057551  0.154046
sex                -0.196633  2.929716"
