nest_visible_in_satellite,nest_visible_in_satellite_binary,sex,minimum_age,cube_slope_degrees,aspect_degrees
No,0,Female,22.0,2.4825450806124043,169
No,0,,,2.7053392289952405,162
No,0,,,2.8438669798515654,245
No,0,,,2.43288079822936,142
No,0,,,1.0,121
Yes,1,Female,16.0,2.763296488254628,225
No,0,,,2.5039936170122448,174
Yes,1,,,1.7099759466766968,71
No,0,,,2.2894284851066637,264
Yes,1,,,2.7849533001676674,214
Yes,1,Male,13.0,1.8757774553669033,177
No,0,Female,29.0,2.3145890545258756,109
No,0,,,2.6916063060436417,240
Yes,1,Female,16.0,2.125317138365222,259
No,0,Female,20.0,0.9654893846056297,282
No,0,,,2.6495430563738203,288
No,0,,,2.3392141905702926,256
No,0,,,2.601182893702774,265
No,0,,,1.991631701289913,139
No,0,Male,32.0,2.8062784283904376,244
No,0,Male,19.0,2.83973944577827,262
Yes,1,Female,5.0,1.2599210498948732,72
Yes,1,,,1.5874010519681994,155
No,0,,,2.040827550958674,82
No,0,,,2.7144176165949063,243
No,0,,,2.3452900988768355,243
No,0,,,2.6447862363471035,205
No,0,,,1.5874010519681994,212
No,0,Female,15.0,2.7234356815688767,218
Yes,1,,,2.5406681855449613,233
Yes,1,,,1.375068867074141,94
No,0,Male,19.0,2.9004359233715116,227
Yes,1,,,1.966095144983117,264
Yes,1,,,2.2894284851066637,225
Yes,1,,,2.2035754532216254,143
No,0,,,1.6261333316791686,136
Yes,1,Female,12.0,1.991631701289913,157
Yes,1,,,2.369284502156768,223
Yes,1,,,1.8757774553669033,224
Yes,1,Female,22.0,1.6631034988407656,180
Yes,1,Female,5.0,2.154434690031884,252
Yes,1,Male,20.0,2.0327927136297066,238
Yes,1,,,1.7863159877080566,121
No,0,Male,13.0,1.4736125994561546,273
No,0,,,2.1326712355058866,149
No,0,,,1.8069688693211896,86
Yes,1,,,2.080083823051904,80
Yes,1,Female,13.0,2.3145890545258756,236
No,0,Female,16.0,1.7099759466766968,132
No,0,,,1.5604907507078847,149
Yes,1,,,2.357348357613727,177
No,0,Male,8.0,2.161592332945083,226
No,0,,,1.7213006207263157,216
Yes,1,Male,8.0,2.161592332945083,145
No,0,,,2.493315476119323,28
Yes,1,,,1.8566355334451115,108
No,0,Male,23.0,1.5036945962049748,251
No,0,,,1.5036945962049748,119
Yes,1,,,2.525080871833849,253
Yes,1,Male,12.0,1.6386425412012917,151
Yes,1,,,1.4888055529538273,173
Yes,1,,,2.147229169018941,18
Yes,1,,,1.9746808222123668,266
No,0,Male,5.0,1.6261333316791686,250
Yes,1,Female,13.0,2.375207738061588,156
No,0,,,1.2805791649874942,127
Yes,1,Female,22.0,2.3633315009350024,252
No,0,,,2.087759478663449,126
No,0,,,1.8271601368635204,116
No,0,,,1.6750686836022342,124
No,0,Male,12.0,1.5874010519681994,169
No,0,Female,7.0,1.6984992522418105,245
Yes,1,,,1.7967017791430526,256
Yes,1,,,2.276638114962505,246
Yes,1,Male,22.0,1.5740609166314434,103
Yes,1,Female,8.0,1.7863159877080566,176
No,0,Male,22.0,1.9486951603746576,248
Yes,1,,,2.615879154109254,255
No,0,Male,16.0,2.0645602309127344,228
No,0,Female,12.0,2.4716804116889617,216
Yes,1,Female,7.0,1.866255578408624,329
Yes,1,,,2.147229169018941,249
No,0,,,1.2385623296301709,145
No,0,Male,5.0,2.040827550958674,127
No,0,,,2.0567101162059633,146
No,0,,,2.072351098059261,138
No,0,,,2.386966383854674,147
No,0,,,3.0365889718756622,251
No,0,,,1.7967017791430526,187
No,0,,,1.5604907507078847,73
No,0,,,1.8469147504478334,20
Yes,1,Male,32.0,1.9831924826807745,161
No,0,,,1.7213006207263157,15
No,0,,,1.6386425412012917,155
Yes,1,,,2.3392141905702926,233
No,0,Male,20.0,1.6984992522418105,187
No,0,Male,7.0,2.6255856591963793,204
No,0,,,2.718934126781983,250
No,0,,,1.6984992522418105,231
No,0,,,1.7651741676630315,250
No,0,,,1.2599210498948732,264
No,0,,,2.810504757710476,244
Yes,1,,,1.6005206638831553,37
No,0,Male,22.0,1.4580997358267116,159
No,0,Male,11.0,2.601182893702774,235
No,0,,,1.5036945962049748,231
No,0,,,1.6750686836022342,189
No,0,Female,22.0,2.802039330655387,196
No,0,,,1.6984992522418105,226
No,0,,,2.2637023919259014,221
No,0,,,1.4422495703074083,73
No,0,Female,8.0,2.375207738061588,126
No,0,,,1.21644039911468,134
No,0,,,2.444092388845405,214
No,0,,,2.1326712355058866,158
No,0,,,2.82728428812555,240
No,0,,,2.375207738061588,241
No,0,,,1.7324782106818055,259
No,0,,,3.08287469844162,192
No,0,,,2.6916063060436417,238
No,0,,,1.3572088082974532,210
No,0,Female,16.0,2.1179117921274466,80
No,0,,,2.6061000753373493,258
No,0,,,2.2306991044756197,131
No,0,,,2.0082988502465087,170
No,0,Male,13.0,2.154434690031884,252
No,0,,,2.6590057904691733,237
Yes,1,Female,19.0,2.5302979959052476,253
No,0,,,2.2239800905693152,267
No,0,,,2.2830512139525267,178
No,0,,,2.320794416806389,235
No,0,,,2.357348357613727,255
No,0,,,1.8945364743718192,247
No,0,Male,19.0,2.139974961130159,242
Yes,1,,,2.161592332945083,256
No,0,,,1.1186889420813968,332
No,0,,,2.3452900988768355,115
No,0,,,1.2805791649874942,77
No,0,Female,14.0,1.375068867074141,224
No,0,,,1.9037782619633032,67
No,0,,,2.6542828572755144,259
No,0,Male,16.0,1.1186889420813968,54
No,0,,,2.4043901127973535,162
No,0,Male,23.0,1.6984992522418105,84
No,0,,,1.6750686836022342,102
No,0,Female,16.0,1.7651741676630315,131
No,0,,,2.6207413942088964,207
No,0,Female,9.0,1.338865900164339,199
No,0,,,1.6868653306034984,155
No,0,,,2.0567101162059633,218
No,0,Female,14.0,2.6304121142856256,146
No,0,Male,18.0,1.6005206638831553,162
